"filename", "language", "JSON", "Properties", "JavaScript", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"d:\1-LearningPrograming\11_Dashboard\client\src\pages\ListCaseAll.jsx", "JavaScript", 0, 0, 141, 0, 0, 0, 8, 14, 163
"d:\1-LearningPrograming\11_Dashboard\client\src\pages\ListCaseUnResolve.jsx", "JavaScript", 0, 0, 478, 0, 0, 0, 63, 42, 583
"d:\1-LearningPrograming\11_Dashboard\client\src\pages\ListUser.jsx", "JavaScript", 0, 0, 306, 0, 0, 0, 16, 24, 346
"d:\1-LearningPrograming\11_Dashboard\client\src\pages\WebScraping.jsx", "JavaScript", 0, 0, 19, 0, 0, 0, 2, 4, 25
"d:\1-LearningPrograming\11_Dashboard\client\src\pages\Work.jsx", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\1-LearningPrograming\11_Dashboard\client\src\reducers\index.jsx", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 4, 10
"d:\1-LearningPrograming\11_Dashboard\client\src\reducers\useReducer.jsx", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\1-LearningPrograming\11_Dashboard\client\src\theme.jsx", "JavaScript", 0, 0, 203, 0, 0, 0, 5, 7, 215
"d:\1-LearningPrograming\11_Dashboard\client\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"d:\1-LearningPrograming\11_Dashboard\package-lock.json", "JSON", 538, 0, 0, 0, 0, 0, 0, 1, 539
"d:\1-LearningPrograming\11_Dashboard\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"d:\1-LearningPrograming\11_Dashboard\server\controllers\authController.js", "JavaScript", 0, 0, 41, 0, 0, 0, 5, 9, 55
"d:\1-LearningPrograming\11_Dashboard\server\controllers\caseController.js", "JavaScript", 0, 0, 97, 0, 0, 0, 31, 19, 147
"d:\1-LearningPrograming\11_Dashboard\server\controllers\register.js", "JavaScript", 0, 0, 48, 0, 0, 0, 6, 14, 68
"d:\1-LearningPrograming\11_Dashboard\server\controllers\userController.js", "JavaScript", 0, 0, 96, 0, 0, 0, 18, 21, 135
"d:\1-LearningPrograming\11_Dashboard\server\firebase.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\1-LearningPrograming\11_Dashboard\server\middleware\auth.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 6, 22
"d:\1-LearningPrograming\11_Dashboard\server\models\caseModel.js", "JavaScript", 0, 0, 47, 0, 0, 0, 28, 11, 86
"d:\1-LearningPrograming\11_Dashboard\server\models\register.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 2, 25
"d:\1-LearningPrograming\11_Dashboard\server\package-lock.json", "JSON", 6076, 0, 0, 0, 0, 0, 0, 1, 6077
"d:\1-LearningPrograming\11_Dashboard\server\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 1, 29
"d:\1-LearningPrograming\11_Dashboard\server\routers\LoginAndRegister.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 5, 11
"d:\1-LearningPrograming\11_Dashboard\server\routers\caseRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 6, 11, 29
"d:\1-LearningPrograming\11_Dashboard\server\routers\login.js", "JavaScript", 0, 0, 7, 0, 0, 0, 3, 12, 22
"d:\1-LearningPrograming\11_Dashboard\server\routers\socket.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\1-LearningPrograming\11_Dashboard\server\routers\userRouter.js", "JavaScript", 0, 0, 11, 0, 0, 0, 1, 10, 22
"d:\1-LearningPrograming\11_Dashboard\server\server.js", "JavaScript", 0, 0, 28, 0, 0, 0, 14, 35, 77
"d:\1-LearningPrograming\11_Dashboard\server\vercel.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 19258, 1, 5025, 208, 2, 16, 1245, 785, 26540
